fips,never,rarely,sometimes,frequently,always
17013,8.2,6,21.9,36.6,27.3
17015,3,6.4,12,19,59.6
17017,10.3,8,19,18.7,44.1
17019,0,6.7,8,19.2,66.1
17021,5.9,5.7,9.1,19,60.3
17023,12.7,8.9,10.7,22.6,45.1
17025,6.2,11.5,14.5,30.6,37.2
17027,10.2,6.3,8.3,16.6,58.7
17029,11.2,5.5,20.1,22.1,41.1
17031,2.3,2.1,7.2,16.2,72.2
17033,14.6,19.6,4.7,21.9,39.2
17035,9.5,7.5,19.4,21.2,42.4
17037,0.7,1.2,3.4,19.1,75.6
17039,3.5,10.6,7.3,28,50.7
17041,4.8,6.1,10.5,19.1,59.4
17043,1,1,5.6,16.3,76
17045,17.4,9,13.1,20.8,39.8
17047,8.6,14.8,23.3,30.6,22.8
17049,7.2,7.2,21.4,23.2,41
17051,6.9,7.6,15.6,22.9,47
17053,1.1,8.2,16.7,17.2,56.7
17055,9.9,16.6,11.9,21.1,40.5
17057,1.6,3,31.1,19.9,44.4
17059,20.1,6,12.8,23.8,37.3
17061,13.6,2.9,10.9,21.7,50.8
17063,5.6,5.6,10.5,18.3,59.9
17065,13.8,17.9,10,21,37.3
17067,14.7,15.4,12.5,16.3,41.1
17069,16.3,7.2,23.5,19.1,34
17071,9.6,4.4,10.1,15.5,60.4
